max_depth	min_split	minbucket	cp	ganancia_promedio
8	800	160	-0.1	10761333
8	800	200	-0.1	10450000
8	800	240	-0.1	10542667
8	800	280	-0.1	10388000
8	800	320	-0.1	9915333
8	775	155	-0.1	10510000
8	775	193	-0.1	10218667
8	775	232	-0.1	10552667
8	775	271	-0.1	10394000
8	775	310	-0.1	9989333
8	750	150	-0.1	10274000
8	750	187	-0.1	9992667
8	750	225	-0.1	10334000
8	750	262	-0.1	10286000
8	750	300	-0.1	10098667
8	725	145	-0.1	10104000
8	725	181	-0.1	10074000
8	725	217	-0.1	10494667
8	725	253	-0.1	10490667
8	725	290	-0.1	10452000
8	700	140	-0.1	10306000
8	700	175	-0.1	10174000
8	700	210	-0.1	10554000
8	700	244	-0.1	10543333
8	700	280	-0.1	10578000
