fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 203933	-0.416376452409895	3696	411	7	5	9749000	1
20220520 204024	-0.246267374290619	4108	583	14	5	9452000	2
20220520 204049	-0.547652298450703	5349	1767	11	5	8489000	3
20220520 204157	-0.326882644442958	4579	765	9	5	8755000	4
20220520 204303	0.00229567635542494	3171	630	16	5	0	5
20220520 204327	-0.756496118585346	2667	1037	12	5	10094000	6
20220520 204341	-0.947573196863232	5818	73	4	5	8755000	7
20220520 204401	-0.508969944622368	7203	1505	20	5	8510000	8
20220520 204434	-0.600995056600368	2498	363	7	5	10342000	9
20220520 204538	-0.0410054326115641	7952	968	13	5	8003000	10
20220520 204551	-0.678992781780835	6129	1386	3	5	7792000	11
20220520 204620	-0.920038025638496	6662	178	16	5	8299000	12
20220520 204649	-0.944965456036152	3818	157	12	5	9725000	13
20220520 204702	0.0783632283797489	4824	1307	7	5	0	14
20220520 204727	-0.489985465689097	7227	729	17	5	8139000	15
20220520 204739	-0.972299658996053	5374	159	3	5	8112000	16
20220520 204806	-0.791170397991975	2608	1	9	5	9491000	17
20220520 204832	-0.216917904583778	7999	394	15	5	8003000	18
20220520 204902	-0.52541320351562	1711	610	19	5	10339000	19
20220520 204933	-0.661217218460057	1409	682	20	5	9714000	20
20220520 205004	-0.882178372160586	1551	769	10	5	9638000	21
20220520 205033	-0.502748441372055	465	226	7	5	10059000	22
20220520 205100	-0.555231185596417	1780	886	8	5	10096000	23
20220520 205137	-0.545600449472545	2748	3	14	5	9784000	24
20220520 205258	-0.403516840445419	841	411	20	5	9163000	25
20220520 205410	-0.516117375372197	2462	481	10	5	10532000	26
20220520 205432	-0.167631843841787	7999	1656	20	5	8003000	27
20220520 205505	-0.926690795398946	22	1	12	5	9624000	28
20220520 205533	-0.56862166121405	1021	470	12	5	9789000	29
20220520 205557	-0.492105606025456	2434	1204	20	5	9795000	30
20220520 205609	-0.523256270348343	2730	346	3	5	8342000	31
20220520 205633	-0.641446685643327	2608	721	10	5	10261000	32
20220520 205658	-0.448999799797374	1905	385	10	5	10508000	33
20220520 205724	-0.452068910138948	3659	489	18	5	9801000	34
20220520 205748	-0.853536183018095	2892	1126	20	5	10108000	35
20220520 205817	-0.950215164699305	1660	611	20	5	10109000	36
20220520 205920	-0.942551248498304	3091	1544	15	5	9281000	37
20220520 210038	-0.739309029163937	3724	639	20	5	9513000	38
20220520 210200	-0.902956493778128	2169	9	19	5	9549000	39
20220520 210227	-0.346500499744235	2314	4	10	5	9785000	40
20220520 210250	-0.829809627198913	4292	972	10	5	9224000	41
20220520 210315	-0.491343156262772	1925	90	9	5	10370000	42
20220520 210343	-0.492413690370949	2217	587	14	5	10416000	43
20220520 210409	-0.800370950936639	1856	925	20	5	9741000	44
20220520 210435	-0.59978609853755	2544	936	18	5	10028000	45
20220520 210500	-0.999976265517854	2862	806	20	5	10119000	46
20220520 210529	-0.999929298510926	1999	316	13	5	10274000	47
20220520 210548	-0.875680238052395	8000	1938	7	5	8003000	48
20220520 210615	-0.938064792323669	2575	571	15	5	10279000	49
20220520 210639	-0.508828923836636	2030	403	9	5	10486000	50
20220520 210705	-0.464447875112451	2446	370	11	5	10391000	51
20220520 210738	-0.999870090043538	530	263	17	5	8729000	52
20220520 210801	-0.961878660274994	2044	1	8	5	9142000	53
20220520 210825	-0.39919970784166	7	3	8	5	9964000	54
20220520 210849	-0.580933037965815	3438	504	10	5	9886000	55
20220520 210913	-0.428861030028551	2315	560	9	5	10249000	56
20220520 210935	-0.684071689897842	38	18	7	5	9741000	57
20220520 211000	-0.526918203562348	1962	477	10	5	10603000	58
20220520 211117	-0.520061269652127	1913	521	12	5	10630000	59
20220520 211141	-0.865962802566379	5669	2000	20	5	8489000	60
20220520 211200	-0.749984301238102	7992	1	6	5	7677000	61
20220520 211229	-0.699594473928634	2254	492	12	5	10731000	62
20220520 211255	-0.288271414645656	5549	483	20	5	8787000	63
20220520 211322	-0.865521582996876	2360	561	13	5	10202000	64
20220520 211348	-0.703916721672651	1866	487	11	5	10644000	65
20220520 211416	-0.682247209535125	2240	296	11	5	10285000	66
20220520 211437	-0.709323113339475	2245	569	7	5	10353000	67
20220520 211506	-0.711408903505208	2096	584	13	5	10269000	68
20220520 211527	-0.237446204246183	7994	2000	13	5	8003000	69
20220520 211554	-0.545506434975633	2474	502	20	5	10528000	70
20220520 211616	-0.438401567995148	1578	13	7	5	10442000	71
20220520 211639	-0.999924403884	6045	1034	12	5	8546000	72
20220520 211704	-0.387473555261322	4347	483	14	5	9119000	73
20220520 211730	-0.949472267174532	2464	511	12	5	10526000	74
20220520 211756	-0.701549184807325	2550	521	12	5	10512000	75
20220520 211822	-0.701969314431959	2012	612	12	5	10465000	76
20220520 211906	-0.46923180488314	1837	1	20	5	9606000	77
20220520 211931	-0.616743466576656	2261	485	12	5	10686000	78
20220520 211949	-0.242729659415441	6161	1	6	5	7783000	79
20220520 212017	-0.941151454823936	2604	468	20	5	10532000	80
20220520 212037	-0.691834919816791	3782	1887	7	5	8765000	81
20220520 212059	-0.653480866039238	2221	479	8	5	10689000	82
20220520 212121	-0.27381529429014	911	455	7	5	9787000	83
20220520 212144	-0.481719511287313	1918	475	7	5	10606000	84
20220520 212207	-0.216498169994024	7998	1138	12	5	8003000	85
20220520 212236	-0.484808113978198	1689	481	11	5	10706000	86
20220520 212259	-0.464764243816666	1543	469	8	5	10279000	87
20220520 212324	-0.658831134291904	2274	1135	10	5	10113000	88
20220520 212349	-0.494639758441794	2196	477	11	5	10689000	89
20220520 212412	-0.28720337493455	4002	1999	20	5	8622000	90
20220520 212440	-0.294165329288323	1754	494	12	5	10773000	91
20220520 212507	-0.297534371471149	1784	867	12	5	10079000	92
20220520 212539	-0.264481482446442	268	1	12	5	9533000	93
20220520 212608	-0.29734431758407	1766	476	16	5	10851000	94
20220520 212636	-0.280456008934099	1787	513	20	5	10621000	95
20220520 212705	-0.277674625153409	1769	471	15	5	10853000	96
20220520 212732	-0.282759219606087	1797	487	17	5	10822000	97
