fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220525 235809	1444	10	75	39	5	11034000	1
20220526 000217	846	3	367	32	5	10395000	2
20220526 003559	1859	19	333	21	5	11023000	3
20220526 012332	1221	23	464	45	5	9542000	4
20220526 013534	1641	16	52	9	5	11745000	5
20220526 013913	280	21	156	16	5	10171000	6
20220526 015548	560	26	279	37	5	9768000	7
20220526 024730	2238	11	195	43	5	11222000	8
20220526 030403	918	14	406	27	5	10991000	9
20220526 030421	157	4	303	2	5	1224000	10
20220526 031427	2024	7	99	12	5	11572000	11
20220526 042247	2462	23	242	35	5	9813000	12
20220526 044453	1569	29	408	18	5	11112000	13
20220526 050032	484	14	186	50	5	10705000	14
20220526 050622	1015	27	1	6	5	10229000	15
20220526 051137	2135	2	490	25	5	9109000	16
20220526 053223	1828	28	1	14	5	9720000	17
20220526 053802	1663	3	87	23	5	10237000	18
20220526 055519	2500	12	13	10	5	11418000	19
20220526 060040	2500	1	100	47	5	6306000	20
20220526 062904	1492	12	197	32	5	11446000	21
20220526 064919	1976	12	96	16	5	11418000	22
20220526 071714	1198	12	286	40	5	11057000	23
20220526 073623	554	16	497	49	5	10283000	24
20220526 074807	1471	22	500	10	5	11995000	25
20220526 075916	2157	16	448	6	5	12018000	26
20220526 081206	1679	16	500	10	5	11844000	27
20220526 081734	1774	20	343	2	5	10885000	28
20220526 083412	2178	15	293	10	5	11817000	29
20220526 084601	2393	11	500	7	5	11782000	30
20220526 085946	1112	24	500	16	5	11397000	31
20220526 091500	2352	18	500	8	5	12005000	32
20220526 092952	2090	17	500	9	5	11956000	33
20220526 094315	1438	30	500	8	5	12104000	34
20220526 100030	2500	30	500	5	5	11972000	35
20220526 101345	1710	27	500	7	5	11887000	36
20220526 112630	2104	14	500	40	5	10865000	37
20220526 113817	2201	11	133	7	5	11672000	38
20220526 115616	740	16	1	31	5	9464000	39
20220526 115809	100	30	500	21	5	10499000	40
20220526 121159	2500	22	483	5	5	12130000	41
20220526 122518	2500	18	491	5	5	11840000	42
20220526 124013	2283	22	466	7	5	11896000	43
20220526 125016	1399	27	500	8	5	11934000	44
20220526 131126	1543	9	401	27	5	11426000	45
20220526 142011	1765	13	207	50	5	10729000	46
20220526 142724	1528	30	500	4	5	11630000	47
20220526 144338	2500	24	500	7	5	11978000	48
20220526 144517	100	6	398	50	5	10703000	49
20220526 150152	2340	15	500	8	5	11714000	50
20220526 151618	1488	18	369	12	5	11783000	51
20220526 152402	854	30	500	11	5	11749000	52
20220526 160303	2379	11	231	29	5	11324000	53
20220526 161535	1544	30	500	10	5	11976000	54
20220526 162640	1659	20	500	8	5	11976000	55
20220526 163812	2173	9	397	9	5	11870000	56
20220526 170056	2500	21	447	7	5	12226000	57
20220526 172555	2500	20	96	7	5	11699000	58
20220526 221222	1884	10	289	35	5	11371000	59
20220526 221443	101	11	497	38	5	11074000	60
20220526 222357	2500	7	256	8	5	11004000	61
20220526 223517	1959	12	415	8	5	12019000	62
20220526 224842	2500	22	406	6	5	11877000	63
20220526 230339	2500	21	500	7	5	11883000	64
20220526 232047	2413	18	442	9	5	12042000	65
20220526 233316	1436	19	182	11	5	11470000	66
20220526 234204	1726	9	1	9	5	11869000	67
20220526 235324	2109	11	459	8	5	11912000	68
20220527 000116	2500	26	455	2	5	11043000	69
20220527 001840	2444	9	260	14	5	12022000	70
20220527 003541	1962	8	1	20	5	11614000	71
20220527 004243	1061	21	453	8	5	12178000	72
20220527 005225	1484	18	452	8	5	11975000	73
20220527 005816	1089	24	495	6	5	11889000	74
20220527 011359	2450	10	351	11	5	11767000	75
20220527 013043	1739	9	206	20	5	11642000	76
20220527 014141	1278	21	449	11	5	11782000	77
20220527 014630	718	22	500	8	5	11753000	78
20220527 020719	2500	16	258	11	5	11749000	79
20220527 022451	2499	10	187	12	5	12138000	80
20220527 024015	2276	9	191	13	5	11869000	81
20220527 024406	2065	8	58	2	5	9491000	82
20220527 030405	1905	11	389	18	5	11755000	83
20220527 031541	1779	16	252	8	5	11848000	84
20220527 033149	2499	11	236	10	5	12092000	85
20220527 033759	923	30	332	8	5	11719000	86
20220527 034902	1526	9	1	14	5	11802000	87
20220527 035535	979	22	395	8	5	11850000	88
20220527 041340	2500	30	467	9	5	12074000	89
20220527 042912	940	8	500	42	5	11234000	90
20220527 050733	2500	30	500	20	5	11131000	91
20220527 052349	2500	29	494	8	5	11952000	92
20220527 053054	1068	30	449	8	5	12010000	93
20220527 054439	2500	9	75	10	5	11780000	94
20220527 055827	1858	11	274	12	5	11769000	95
20220527 060534	1082	22	500	8	5	11704000	96
20220527 062028	1900	24	466	10	5	11902000	97
20220527 064453	2194	18	500	15	5	11598000	98
20220527 064833	547	20	363	8	5	12244000	99
20220527 065104	521	21	436	5	5	11911000	100
20220527 065216	151	21	445	9	5	11446000	101
20220527 065809	897	20	353	8	5	12004000	102
20220527 070813	1530	24	471	8	5	12274000	103
20220527 071257	650	20	427	9	5	12039000	104
20220527 071651	574	25	450	8	5	11877000	105
20220527 072555	1548	21	450	7	5	12248000	106
20220527 074116	2499	14	169	8	5	11849000	107
20220527 074855	517	8	203	37	5	11029000	108
20220527 075250	587	21	365	8	5	11831000	109
20220527 080412	1796	16	383	8	5	11847000	110
20220527 080709	432	19	361	8	5	12069000	111
20220527 080945	478	30	499	6	5	11558000	112
20220527 081234	510	19	100	6	5	11637000	113
20220527 082640	2359	30	232	7	5	11724000	114
20220527 084637	1636	14	266	18	5	11459000	115
20220527 085843	2500	11	415	7	5	12009000	116
