fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220526 172325	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.196551933363196	0.526716244425625	2205	884	0.0344280712248292	10263000	1
20220526 172335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.218407505203271	0.600795391490683	3735	756	0.0289761210956688	11541000	2
20220526 172348	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.152828146177577	0.4604946956411	5845	661	0.026424001500709	12490000	3
20220526 172358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.159414209575276	0.724789840206504	5563	516	0.0377938757194594	10004000	4
20220526 172427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	186	TRUE	0.0719921997730853	0.204036063216627	4771	313	0.0365642675135556	10168000	5
20220526 172440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.242994909464964	0.307514090081677	2613	431	0.0444185313419439	8736000	6
20220526 172451	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.179242116255336	0.783387818541378	2861	157	0.0221098319394514	12284000	7
20220526 172508	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	0.0859031268424587	0.240379438344389	1160	559	0.0174920878426443	12058000	8
20220526 172518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.11846388530347	0.922434219745919	7052	865	0.043481310675755	8583000	9
20220526 172529	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.272542721077218	0.392290182309225	1928	795	0.0235508970203227	10932000	10
20220526 172550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0399122706956696	0.649428664213046	7691	194	0.0488801363482101	7638000	11
20220526 172602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1	TRUE	0.298896649107919	0.708967590937391	163	240	0.0131577370605858	7898000	12
20220526 172624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0594427811375354	0.50168787997216	7483	16	0.0194132305172388	13182000	13
20220526 172644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	12	TRUE	0.107305738028372	0.813468527821824	412	689	0.0117415617700317	11377000	14
20220526 172652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.266999185942579	0.882207577573136	6307	116	0.0397080207898398	9302000	15
20220526 172706	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.136441920989077	0.598550642319024	3444	959	0.033155071878961	11293000	16
20220526 172828	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	437	TRUE	0.0171013783584349	0.43669961608015	6407	609	0.00905516002288399	11689000	17
20220526 172901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	136	TRUE	0.0345141506120563	0.858967940146104	1451	418	0.0470720408974254	7894000	18
20220526 172911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.227738954875036	0.991845470359549	4349	1005	0.0159963355773167	13367000	19
20220526 172923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.209129307043506	0.341019151769578	5031	362	0.0294383654943279	11507000	20
20220526 172939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.128096008471114	0.926544547490248	4631	973	0.0182733261011474	12757000	21
20220526 172954	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.112885656474464	0.493531495972583	5806	176	0.0193537303949627	13284000	22
20220526 173003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.216423476959054	0.667138004026901	6273	1023	0.0158203023047422	12861000	23
