fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220529 215906	0	0	0	1	auto	depthwise	256	0	1	0.0792276868809713	0.791878076288849	4	11	0.0243568082669905	61	11001000	1
20220529 220045	0	0	0	1	auto	depthwise	256	0	1	0.18445621298335	0.527014396237209	6	4	0.0400880976580083	28	8503000	2
20220529 220318	0	0	0	1	auto	depthwise	256	0	1	0.161648631080403	0.264030142268166	8	27	0.0336018453594685	12	8547000	3
20220529 220723	0	0	0	1	auto	depthwise	256	0	1	0.124603961104527	0.680024657500908	8	9	0.0110463843632412	24	12419000	4
20220529 221312	0	0	0	1	auto	depthwise	256	0	1	0.18127521160373	0.670757984006777	2	23	0.0488348326606986	9	4956000	5
20220529 223332	0	0	0	1	auto	depthwise	256	0	1	0.0502504362983163	0.962156128538773	4	28	0.036334371882064	60	8006000	6
20220529 223726	0	0	0	1	auto	depthwise	256	0	1	0.201300141459331	0.602623989591375	5	15	0.016408493075869	9	10802000	7
20220529 224433	0	0	0	1	auto	depthwise	256	0	1	0.179992724119453	0.935814259629697	5	14	0.00870713303350688	5	10789000	8
20220529 224903	0	0	0	1	auto	depthwise	256	0	1	0.135968631234136	0.475211409563199	3	16	0.0283927980994728	15	8802000	9
20220529 225013	0	0	0	1	auto	depthwise	256	0	1	0.0637721537672915	0.884296633126214	7	21	0.0196162600550451	52	11740000	8
20220529 225430	0	0	0	1	auto	depthwise	256	0	1	0.29824403947196	0.813447809973732	3	14	0.0303664467452715	4	9021000	9
20220529 225636	0	0	0	1	auto	depthwise	256	0	1	0.0669798045909265	0.540208370862529	8	17	0.0173380644943488	56	12272000	10
20220529 225807	0	0	0	1	auto	depthwise	256	0	1	0.106232193769189	0.307006095536053	5	16	0.032830615810235	29	10062000	10
20220529 230057	0	0	0	1	auto	depthwise	256	0	1	0.140169296245207	0.507616612929851	0	7	0.021053823341208	20	10457000	11
20220529 230550	0	0	0	1	auto	depthwise	256	0	1	0.0414222961406922	0.428219388751313	2	12	0.0373840607431096	94	8478000	11
20220529 230628	0	0	0	1	auto	depthwise	256	0	1	0.0924138868218288	0.74219918994233	6	9	0.0390964606417886	30	8998000	12
20220529 230912	0	0	0	1	auto	depthwise	256	0	1	0.226311332909274	0.394020928777754	10	18	0.0457628599814295	17	7495000	13
20220529 230918	0	0	0	1	auto	depthwise	256	0	1	0.156621680592885	0.381419393476099	3	10	0.0412620729650371	48	6938000	12
20220529 231059	0	0	0	1	auto	depthwise	256	0	1	0.264716803538031	0.447756192572415	0	30	0.00886485566249273	2	3025000	14
20220529 231259	0	0	0	1	auto	depthwise	256	0	1	0.281626950729988	0.334794142367318	1	12	0.042217073830155	1	6597000	15
20220529 231516	0	0	0	1	auto	depthwise	256	0	1	0.0795864855129039	0.821124258823693	7	9	0.0129622937626361	21	12918000	13
20220529 231754	0	0	0	1	auto	depthwise	256	0	1	0.191539751550416	0.517837676480412	0	7	0.0296305086715923	16	9247000	14
20220529 231815	0	0	0	1	auto	depthwise	256	0	1	0.242460413572495	0.928041696567088	9	26	0.0284564797936279	7	9829000	16
20220529 232549	0	0	0	1	auto	depthwise	256	0	1	0.108490460714325	0.643853381257504	2	24	0.0487363659427501	19	5362000	15
20220529 233024	0	0	0	1	auto	depthwise	256	0	1	0.223660857312148	0.71562141164206	8	21	0.0123619455577379	11	11622000	16
20220529 233419	0	0	0	1	auto	depthwise	256	0	1	0.0219843403458362	0.429984093233943	8	24	0.0172095393403045	162	12997000	17
20220529 233423	0	0	0	1	auto	depthwise	256	0	1	0.198956414080807	0.572038556225598	9	20	0.0433618965883701	17	6865000	17
20220529 233606	0	0	0	1	auto	depthwise	256	0	1	0.153243940121727	0.35434731239453	4	4	0.0212396222060003	65	11392000	18
20220529 233853	0	0	0	1	auto	depthwise	256	0	1	0.256577158237342	0.315094812475145	1	30	0.0437613106313317	5	6549000	19
20220529 233923	0	0	0	1	auto	depthwise	256	0	1	0.0357902857617009	0.204363794056699	3	2	0.0462290058674019	480	8289000	19
20220529 234448	0	0	0	1	auto	depthwise	256	0	1	0.249505932141095	0.895902733923867	6	28	0.0337170019731275	9	8485000	20
20220529 234745	0	0	0	1	auto	depthwise	256	0	1	0.153185198462801	0.868854838637635	1	20	0.0259832858044926	18	6333000	20
20220529 234800	0	0	0	1	auto	depthwise	256	0	1	0.274562026233179	0.988479244383052	6	7	0.019059180324742	8	11001000	21
20220530 000426	0	0	0	1	auto	depthwise	256	0	1	0.0316847682469524	0.856286762645468	9	22	0.0161366143162013	45	12781000	22
20220530 000542	0	0	0	1	auto	depthwise	256	0	1	0.297870650893077	0.783497103797272	3	3	0.0475095895143265	8	8479000	23
20220530 001158	0	0	0	1	auto	depthwise	256	0	1	0.0100595307582698	0.376623287320887	10	15	0.0158952788200117	350	13375000	21
20220530 001806	0	0	0	1	auto	depthwise	256	0	1	0.0213437654841691	0.246917843036354	5	26	0.0328818397397602	150	9528000	24
20220530 002059	0	0	0	1	auto	depthwise	256	0	1	0.121693335400661	0.613397944848984	10	5	0.0390797884154987	52	9612000	25
20220530 002239	0	0	0	1	auto	depthwise	256	0	1	0.241343931728159	0.216747217606753	10	26	0.0252615496283397	15	10455000	26
20220530 002535	0	0	0	1	auto	depthwise	256	0	1	0.0101608114174671	0.201966639191329	7	6	0.0149358014614243	763	13467000	22
20220530 003111	0	0	0	1	auto	depthwise	256	0	1	0.0840138235387858	0.720492601813749	0	18	0.0240023552459509	3	1789000	27
20220530 003632	0	0	0	1	auto	depthwise	256	0	1	0.0769908383495784	0.874477252413665	10	4	0.0147429466646897	119	13368000	28
20220530 003802	0	0	0	1	auto	depthwise	256	0	1	0.0942702691719541	0.36682779356364	10	2	0.0159547719443105	114	13489000	29
20220530 003905	0	0	0	1	auto	depthwise	256	0	1	0.265205335525763	0.30571984434816	10	4	0.0176715471758322	30	12045000	30
20220530 004353	0	0	0	1	auto	depthwise	256	0	1	0.0258577180970235	0.456242171760653	8	2	0.0144398002946739	384	13124000	31
20220530 004902	0	0	0	1	auto	depthwise	256	0	1	0.0100333230581722	0.415808588599512	8	11	0.0171860654444334	350	13151000	23
20220530 010003	0	0	0	1	auto	depthwise	256	0	1	0.0100699716291464	0.207769331552562	8	17	0.008648669873984	68	12164000	24
20220530 010738	0	0	0	1	auto	depthwise	256	0	1	0.0100962496851132	0.363452738534636	10	14	0.0156029841584952	389	13614000	32
20220530 010806	0	0	0	1	auto	depthwise	256	0	1	0.0103490285041698	0.348490724386634	5	2	0.0148819074312841	684	13029000	25
20220530 012737	0	0	0	1	auto	depthwise	256	0	1	0.0100358829451496	0.615031952717267	10	3	0.0114798872521998	987	12931000	33
20220530 012927	0	0	0	1	auto	depthwise	256	0	1	0.058167983458063	0.200467660092514	7	2	0.0288336411904978	214	11969000	34
20220530 014209	0	0	0	1	auto	depthwise	256	0	1	0.0101600719653637	0.523863605335274	10	23	0.0174735562225093	320	13149000	26
20220530 014459	0	0	0	1	auto	depthwise	256	0	1	0.0784700719855342	0.200918992444062	9	5	0.0168458469507815	181	12890000	27
20220530 015434	0	0	0	1	auto	depthwise	256	0	1	0.0106818187557809	0.56758449176712	10	8	0.0158606306403273	415	13252000	35
20220530 015714	0	0	0	1	auto	depthwise	256	0	1	0.0706991257524338	0.200134095823304	10	12	0.0139235850618604	44	12594000	36
20220530 020507	0	0	0	1	auto	depthwise	256	0	1	0.0101696746613904	0.347078106097923	10	2	0.0194907900850818	684	13106000	37
20220530 020611	0	0	0	1	auto	depthwise	256	0	1	0.0101155480411189	0.427077361240657	10	6	0.0132459464239979	674	13326000	28
20220530 021748	0	0	0	1	auto	depthwise	256	0	1	0.0129005042010246	0.384511048999672	7	6	0.0147317093068068	258	13462000	29
20220530 024253	0	0	0	1	auto	depthwise	256	0	1	0.0104766350323993	0.999400929581323	9	10	0.0126127863810108	201	13297000	38
20220530 024904	0	0	0	1	auto	depthwise	256	0	1	0.0100047418847958	0.997416875272655	10	5	0.014453703926123	485	13331000	30
20220530 030724	0	0	0	1	auto	depthwise	256	0	1	0.0112558466585183	0.383830293725792	10	29	0.0150598974899711	312	13422000	39
20220530 032010	0	0	0	1	auto	depthwise	256	0	1	0.0101049486443663	0.736385823114497	10	7	0.0150199230053715	471	13355000	31
20220530 032758	0	0	0	1	auto	depthwise	256	0	1	0.0294915491188663	0.991482782449067	10	30	0.0109890276918066	63	13122000	40
20220530 033017	0	0	0	1	auto	depthwise	256	0	1	0.13229454232736	0.872387399729563	9	2	0.0144587474464491	91	13245000	41
20220530 033903	0	0	0	1	auto	depthwise	256	0	1	0.010069778882113	0.219235723495735	10	30	0.0147654562698027	435	13105000	32
20220530 035331	0	0	0	1	auto	depthwise	256	0	1	0.0103355613259593	0.200199350511648	10	23	0.0151214256163644	284	12909000	33
20220530 041341	0	0	0	1	auto	depthwise	256	0	1	0.0102544616288812	0.931866822852262	10	18	0.0127625385797712	157	13495000	42
20220530 044308	0	0	0	1	auto	depthwise	256	0	1	0.0100769047733265	0.388759447383143	10	21	0.0156013806042645	399	13445000	43
20220530 044618	0	0	0	1	auto	depthwise	256	0	1	0.0110173108613252	0.979948714239494	10	30	0.0135000522282852	236	13300000	34
20220530 050103	0	0	0	1	auto	depthwise	256	0	1	0.0100496706490171	0.387346515866742	10	26	0.00838499837983555	53	12544000	44
20220530 052043	0	0	0	1	auto	depthwise	256	0	1	0.0108588713649568	0.999826537070563	7	2	0.0126110564385733	924	13022000	45
20220530 052612	0	0	0	1	auto	depthwise	256	0	1	0.0102257588546182	0.618068360337603	10	30	0.014864915209281	327	13412000	35
20220530 055352	0	0	0	1	auto	depthwise	256	0	1	0.010050084602943	0.882818919529895	10	14	0.00836332567370089	67	11871000	46
20220530 055459	0	0	0	1	auto	depthwise	256	0	1	0.291223573687303	0.208716050976158	4	2	0.0308450364110989	125	10763000	47
20220530 060836	0	0	0	1	auto	depthwise	256	0	1	0.0100816154536534	0.874327963695257	10	15	0.0136979681172849	226	13501000	36
20220530 061857	0	0	0	1	auto	depthwise	256	0	1	0.010218129867991	0.218724842678893	6	5	0.0186762338231197	520	13176000	37
20220530 064143	0	0	0	1	auto	depthwise	256	0	1	0.0248763102163597	0.998794228942623	10	14	0.0147867067684958	123	13175000	38
20220530 064438	0	0	0	1	auto	depthwise	256	0	1	0.0116104174232302	0.999995265922675	10	30	0.0139910011431578	201	13396000	48
20220530 065727	0	0	0	1	auto	depthwise	256	0	1	0.0101914056077394	0.832828795729452	10	2	0.0124078817624753	797	12924000	39
20220530 073141	0	0	0	1	auto	depthwise	256	0	1	0.0105209921503222	0.860434502540596	10	15	0.014941730334657	334	13063000	49
20220530 074003	0	0	0	1	auto	depthwise	256	0	1	0.0100158318332848	0.815427128634593	10	26	0.0136256563271198	182	13410000	40
20220530 074048	0	0	0	1	auto	depthwise	256	0	1	0.0870328212418278	0.964598497615642	10	24	0.0132361538618889	20	13050000	50
