fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220530 133223	0	0	0	1	hist	lossguide	256	0	1	0.188722299143556	0.44078710234724	9	542	0.0353400952425242	21	8954000	1
20220530 133335	0	0	0	1	hist	lossguide	256	0	1	0.0431884627647232	0.48869473493658	5	248	0.0332012071943609	39	8788000	2
20220530 133414	0	0	0	1	hist	lossguide	256	0	1	0.181406119616702	0.396504795998335	1	657	0.0362901399140052	7	5490000	3
20220530 133458	0	0	0	1	hist	lossguide	256	0	1	0.0900986732504098	0.581191657138988	7	168	0.037871633770313	41	8307000	4
20220530 133533	0	0	0	1	hist	lossguide	256	0	1	0.135832995334407	0.643601551633328	5	598	0.0289960143660816	14	8413000	5
20220530 133610	0	0	0	1	hist	lossguide	256	0	1	0.205884002258885	0.74644048771821	1	473	0.0107600761917032	2	7620000	6
20220530 133705	0	0	0	1	hist	lossguide	256	0	1	0.0621747201645048	0.861781783429906	6	385	0.0179141728964169	45	12426000	7
20220530 133744	0	0	0	1	hist	lossguide	256	0	1	0.107760556003195	0.336056631226093	4	343	0.0420595577374722	17	6182000	8
20220530 133815	0	0	0	1	hist	lossguide	256	0	1	0.267065659141401	0.830421153716743	1	284	0.0295906704903852	1	7101000	9
20220530 133846	0	0	0	1	hist	lossguide	256	0	1	0.145916277857847	0.309951511109248	8	744	0.0213552418688778	17	11587000	10
20220530 133916	0	0	0	1	hist	lossguide	256	0	1	0.243685741979396	0.26935619616881	2	454	0.0149535513182248	3	9271000	11
20220530 135201	0	0	0	1	hist	lossguide	256	0	1	0.026859075666056	0.777934752395377	0	919	0.0240185487059838	187	877000	12
20220530 135229	0	0	0	1	hist	lossguide	256	0	1	0.229693031832925	0.70835040747188	6	704	0.00926180536383375	6	10983000	13
20220530 135300	0	0	0	1	hist	lossguide	256	0	1	0.157954723470029	0.61533347165212	10	64	0.0479803301825693	27	7298000	14
20220530 135325	0	0	0	1	hist	lossguide	256	0	1	0.27328399819287	0.898740223562345	10	46	0.025779560492568	11	10715000	15
20220530 135355	0	0	0	1	hist	lossguide	256	0	1	0.222315371243749	0.967530508227646	4	925	0.0474208053094723	10	6485000	16
20220530 135444	0	0	0	1	hist	lossguide	256	0	1	0.0781801759613445	0.927536809975281	7	983	0.0134021021566393	43	12777000	17
20220530 135637	0	0	0	1	hist	lossguide	256	0	1	0.0225861066359794	0.410864182710648	9	778	0.0445716462039854	167	7678000	18
20220530 135707	0	0	0	1	hist	lossguide	256	0	1	0.290721003314597	0.221431728759781	2	829	0.0407058564048687	5	7308000	19
20220530 135747	0	0	0	1	hist	lossguide	256	0	1	0.112074438902666	0.555438974453136	3	121	0.0202525177325394	13	10599000	20
20220530 135924	0	0	0	1	hist	lossguide	256	0	1	0.0303942569210162	0.957632616728726	8	355	0.0130301772682169	106	12743000	21
20220530 140028	0	0	0	1	hist	lossguide	256	0	1	0.0416518512983724	0.554861482987456	7	35	0.0142332980451724	58	12702000	22
20220530 140110	0	0	0	1	hist	lossguide	256	0	1	0.0718007901056986	0.959444625194771	9	1024	0.0147732315078586	23	12562000	23
20220530 140151	0	0	0	1	hist	lossguide	256	0	1	0.0860250231607645	0.999714870599519	7	78	0.0149415530964301	20	12993000	24
20220530 140602	0	0	0	1	hist	lossguide	256	0	1	0.010595991906325	0.999614441089092	6	3	0.0125826920420869	1518	12861000	25
20220530 140703	0	0	0	1	hist	lossguide	256	0	1	0.0519354185945081	0.858443614311622	6	182	0.0123069641581249	45	12701000	26
20220530 141051	0	0	0	1	hist	lossguide	256	0	1	0.0100468445282281	0.999896148579743	8	850	0.0160259085395863	281	12646000	27
20220530 141448	0	0	0	1	hist	lossguide	256	0	1	0.0102098826180961	0.986962031961675	7	161	0.0166663647355102	249	12842000	28
20220530 141710	0	0	0	1	hist	lossguide	256	0	1	0.0113045798609853	0.237346703853162	8	1023	0.00842986465298312	39	12413000	29
20220530 141836	0	0	0	1	hist	lossguide	256	0	1	0.0388679489557851	0.201052261936033	10	492	0.0132196491871931	164	12929000	30
20220530 142007	0	0	0	1	hist	lossguide	256	0	1	0.0365622328311105	0.200353674144152	10	1024	0.0139374632491424	169	13242000	31
20220530 142251	0	0	0	1	hist	lossguide	256	0	1	0.0100841821972883	0.45286383989733	10	917	0.012489236683123	113	13035000	32
20220530 142325	0	0	0	1	hist	lossguide	256	0	1	0.138286191033172	0.200305990628073	10	1023	0.0105480751853588	9	11968000	33
20220530 142759	0	0	0	1	hist	lossguide	256	0	1	0.010007374333053	0.212457511699582	10	980	0.0168033711752966	570	13432000	34
20220530 143133	0	0	0	1	hist	lossguide	256	0	1	0.0101183205444638	0.200294266446492	10	4	0.0190515383445889	1096	13511000	35
20220530 143421	0	0	0	1	hist	lossguide	256	0	1	0.0101747601788581	0.526522272650331	10	13	0.016358263874167	374	13555000	36
20220530 143814	0	0	0	1	hist	lossguide	256	0	1	0.0101451416088034	0.372097528807979	10	93	0.0179355920271336	376	13121000	37
20220530 144154	0	0	0	1	hist	lossguide	256	0	1	0.0121924948610786	0.852490630372902	10	2	0.0145060401070663	1491	12975000	38
20220530 144704	0	0	0	1	hist	lossguide	256	0	1	0.0110452062977466	0.201487484494043	10	2	0.0153827279554192	2223	13099000	39
20220530 144927	0	0	0	1	hist	lossguide	256	0	1	0.0299124459235552	0.570241959444026	10	2	0.0197210861269268	995	13162000	40
20220530 145008	0	0	0	1	hist	lossguide	256	0	1	0.289751505431824	0.990210732349444	5	2	0.0165040900065967	247	12819000	41
20220530 145317	0	0	0	1	hist	lossguide	256	0	1	0.0109013572429686	0.575789283126418	9	4	0.0167606223106919	779	13426000	42
20220530 145703	0	0	0	1	hist	lossguide	256	0	1	0.010348626440236	0.200229140489105	10	680	0.0171380099342799	369	13259000	43
20220530 145730	0	0	0	1	hist	lossguide	256	0	1	0.258662317356208	0.20041706424378	10	2	0.0191302654915617	126	13238000	44
20220530 145759	0	0	0	1	hist	lossguide	256	0	1	0.287728622844022	0.201436397818355	6	3	0.0201173793690414	61	12475000	45
