fecha	objective	metric	grow_policy	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	max_depth	num_leaves	min_gain_to_split	max_bin	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220601 135815	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	27	TRUE	0.201103959349275	0.476499852954585	4286	24	454	0.168553198657173	32	48.1100105342921	83.9089035586221	0.0201707226124806	11290000	1
20220601 140115	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	37	TRUE	0.215510345677483	0.319166590590612	4342	20	157	0.122995316087812	37.1655062778801	43.8796955898094	0.0368251614006348	9858000	2
20220601 140126	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	20	TRUE	0.199703411327403	0.558569992448126	2195	20	489	0.107473503989362	76.6510190642698	22.4809542880394	0.0195667236826719	10729000	3
20220601 140135	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	72	TRUE	0.108091857072884	0.709894896259518	5001	15	647	0.0998702701239381	62.1881646615091	83.7139293933028	0.0350381394606774	5926000	4
20220601 140146	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	29	TRUE	0.229513362897431	0.52805535508766	3828	27	557	0.110578665179977	79.1552062644364	31.3937751201188	0.0294381426890376	9845000	5
20220601 140154	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	1	TRUE	0.235596812141464	0.569629004659752	5714	11	298	0.0957745214749593	74.8848766896925	80.0093569902755	0.0374475163753097	0	6
20220601 140206	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	28	TRUE	0.176582075582636	0.357816982883701	3426	13	584	0.131032092711151	60.0352290073513	16.1808679048489	0.0305965489417927	10019000	7
20220601 140218	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	34	TRUE	0.16693346753503	0.482113174242032	6861	25	197	0.0764792167387592	55.4174941589331	91.3370313957178	0.0275999437384868	11128000	8
20220601 140231	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	29	TRUE	0.204580233667964	0.508882629492695	6081	18	330	0.171435727625309	88.5976852312322	71.970658235821	0.0154159466151247	11411000	9
20220601 140301	binary	custom	leaf_wise	TRUE	TRUE	FALSE	-100	999983	31	158	TRUE	0.0412698997574626	0.444463794132268	5284	18	360	0.116250541133923	65.7122382965301	56.2337084731553	0.0339951225601706	3943000	10
