Feature	Gain	Cover	Frequency
ctrx_quarter	0.149610056428484	0.0296786482946134	0.0248380129589633
mpasivos_margen	0.127639161342987	0.0339897591337682	0.0226781857451404
cpayroll_trx	0.0827796841139917	0.0258281415445808	0.00755939524838013
mcaja_ahorro	0.0649752074158658	0.0509350615017161	0.0496760259179266
mpayroll	0.0578314006987711	0.0429953405328506	0.0140388768898488
mtarjeta_visa_consumo	0.0509924974163849	0.0189453656635887	0.0151187904967603
Visa_msaldopesos	0.0440092073154008	0.0433976823662885	0.0367170626349892
ctarjeta_visa_trx2	0.0312677876578055	0.0206252003895906	0.0172786177105832
mactivos_margen	0.0291333010160715	0.0339639671470622	0.0183585313174946
Visa_mconsumospesos	0.0259248565169661	0.0265028125437748	0.0377969762419006
mprestamos_personales	0.0190106854462833	0.0218644000774023	0.0107991360691145
Master_fechaalta	0.0187665572928275	0.0286068991327379	0.0377969762419006
mrentabilidad_annual	0.0180778438180031	0.0321183596901777	0.0356371490280778
Visa_msaldototal	0.0160680769535355	0.015648004914163	0.0118790496760259
ccomisiones_otras	0.0150828080877816	0.00951674962540758	0.00971922246220302
mcuentas_saldo	0.0149529782953824	0.0179926083587486	0.0205183585313175
Visa_fechaalta	0.0141134905542627	0.0195991135715263	0.0269978401727862
mrentabilidad	0.0140053320220751	0.0176564571850718	0.0345572354211663
cprestamos_personales	0.0124460077581943	0.00755692051311052	0.00539956803455724
ctarjeta_debito_trx	0.00991821137396246	0.0295531755429592	0.0226781857451404
mcaja_ahorro_dolares	0.00978305303024826	0.0271671206911673	0.0237580993520518
mautoservicio	0.00961937184724354	0.0203109263474948	0.019438444924406
cproductos	0.00954779555622899	0.0206855352156352	0.0237580993520518
Master_Fvencimiento	0.00935289594054096	0.0213529028716548	0.0248380129589633
chomebanking_trx	0.00887499272687602	0.016112787041948	0.019438444924406
numero_de_cliente	0.00749721840112321	0.015308794231859	0.0183585313174946
mcomisiones	0.00700507991603424	0.0148284513774007	0.0215982721382289
cliente_edad	0.00644313483612477	0.0161049902296401	0.019438444924406
Visa_mpagospesos	0.00604369583782022	0.0111715819153169	0.0151187904967603
Visa_Fvencimiento	0.00588994750000018	0.0129779421271244	0.0172786177105832
mcomisiones_mantenimiento	0.00545437723933136	0.00767314894299899	0.00971922246220302
matm	0.00543010112783791	0.0085255017281618	0.00863930885529158
Visa_mconsumototal	0.00531398326757104	0.00779714128725305	0.00755939524838013
Visa_mlimitecompra	0.00471349257765032	0.0138209189987524	0.0205183585313175
mtransferencias_recibidas	0.00441351314346799	0.0115961627577003	0.0172786177105832
Master_mlimitecompra	0.00437079271543502	0.00964676229308921	0.0118790496760259
Master_msaldopesos	0.00431903678177086	0.00964524898774677	0.00647948164146868
mcuenta_corriente	0.00429093932920016	0.00404266363058138	0.00647948164146868
mtarjeta_visa_debitos_automaticos	0.00385415671186345	0.00738611439706724	0.0129589632829374
ctarjeta_visa_trx	0.0037663435174454	0.00727511673999289	0.00647948164146868
Visa_mpagominimo	0.00363242181147244	0.0152305629252429	0.0161987041036717
ccaja_ahorro	0.00331033532781752	0.0156658684967924	0.00431965442764579
mextraccion_autoservicio	0.00323101688341634	0.0146044492887761	0.0151187904967603
Master_mfinanciacion_limite	0.00322922393467661	0.00431805230496471	0.00863930885529158
cliente_antiguedad	0.00312236275427216	0.00656057343481954	0.0118790496760259
mcomisiones_otras	0.00306634936858698	0.00463110912319812	0.00539956803455724
Visa_mconsumosdolares	0.0030002353912094	0.00222804603527488	0.00431965442764579
mpagomiscuentas	0.00295340213526521	0.00813286478768096	0.00863930885529158
thomebanking	0.00271236118500395	0.00274178030109381	0.00431965442764579
ccuenta_debitos_automaticos	0.0025140374735622	0.00987102756525159	0.00971922246220302
Visa_mfinanciacion_limite	0.00214703045701391	0.0138307554834784	0.0107991360691145
Visa_cconsumos	0.00206493254391511	0.00557389835154333	0.0107991360691145
Master_mconsumospesos	0.00202881376397303	0.00941789130901504	0.0151187904967603
mcuenta_debitos_automaticos	0.0013948368355339	0.00465242698976131	0.00647948164146868
ctransferencias_recibidas	0.00133333284763592	0.00233861601910028	0.00431965442764579
Master_msaldototal	0.00133305803754264	0.0061233268846787	0.00539956803455724
ctarjeta_debito	0.00127110563221585	0.00337496699513946	0.00431965442764579
ccomisiones_mantenimiento	0.0011653188887619	0.00228782159630159	0.00539956803455724
mtransferencias_emitidas	0.00115224331199316	0.00483241163168596	0.00863930885529158
Master_mpagospesos	0.00113725023514521	0.00244724502433428	0.00323974082073434
Visa_madelantopesos	0.00106688099218417	0.003990323004498	0.00107991360691145
Master_mpagosdolares	0.00103393879296185	0.00608700755645994	0.00647948164146868
ccallcenter_trx	0.000996315786210017	0.00510256953325518	0.00215982721382289
cpagomiscuentas	0.000861413917643286	0.00475404873330092	0.00539956803455724
ctarjeta_visa_debitos_automaticos	0.000826994130301909	0.00267575413104395	0.00539956803455724
Master_mpagominimo	0.000812951920144403	0.00283649347676573	0.00647948164146868
ccaja_seguridad	0.00074766616361418	0.00265673912043667	0.00107991360691145
tcallcenter	0.000678207928590408	0.00236289470046391	0.00107991360691145
cextraccion_autoservicio	0.000604672626430011	0.00452744770724042	0.00323974082073434
ctransferencias_emitidas	0.000577778890348124	0.00224896912653134	0.00215982721382289
Visa_mpagosdolares	0.000538959556170612	0.000333058767107506	0.00107991360691145
cseguro_accidentes_personales	0.000411232765032664	0.00223870496855648	0.00215982721382289
Master_cconsumos	0.000391297157032617	0.0046804231385966	0.00431965442764579
Master_fultimo_cierre	0.000345016216310908	0.00235717045851639	0.00215982721382289
Master_mconsumototal	0.000340486196511417	0.00119399791519161	0.00323974082073434
ctarjeta_visa_descuentos	0.000312219205105113	0.00861551049809524	0.00431965442764579
ctarjeta_master_trx	0.000299318077903604	0.00105829390350468	0.00107991360691145
Visa_fultimo_cierre	0.000221923060887381	0.00239000260485907	0.00215982721382289
cseguro_vivienda	0.000144473711947499	0.000913181080340789	0.00107991360691145
catm_trx	0.000140846307622613	0.00172845788461363	0.00215982721382289
cseguro_vida	9.85146887715349e-05	0.000677072548976647	0.00107991360691145
mtarjeta_visa_descuentos	8.38356626916714e-05	0.00220182637531986	0.00107991360691145
Visa_mpagado	7.63138292634145e-05	0.00232947039116114	0.00107991360691145
Master_mconsumosdolares	3.85129372986265e-11	0.0015299517012151	0.00215982721382289
Master_cadelantosefectivo	2.23206232406547e-11	0.000437049162487477	0.00107991360691145
Master_madelantopesos	7.62379026188008e-12	0.000805407421604697	0.00107991360691145
