Feature	Gain	Cover	Frequency
ctrx_quarter	0.197544436999864	0.0178229723520368	0.0134749163293557
mcuentas_saldo	0.040702345365376	0.0131762717387193	0.0195377525451646
mtarjeta_visa_consumo	0.0349656152782999	0.0119483352502626	0.0158755191084477
mcaja_ahorro	0.0284614408370783	0.00732406409071032	0.0122570922917871
cpayroll_trx	0.0192510864014065	0.00819752870222864	0.00471359231807111
foto_mes	0.0191307013323744	0.0152523252187938	0.0173912281623999
ctrx_quarter_lag1	0.018672793288112	0.00734151091221604	0.00838458707879935
mdescubierto_preacordado	0.0178591576460443	0.00179605832142347	0.0015332317019748
mcaja_ahorro_lag1	0.0164554780046243	0.00581291377629286	0.0101018065850111
ctarjeta_visa	0.0162148304143642	0.000303479440707147	0.000525679440677075
mpayroll	0.016118424603495	0.0117672501684264	0.00567733795931241
mpasivos_margen	0.0137857173349603	0.0100660115725388	0.0104259755734287
mcuenta_corriente	0.0127220814908943	0.00729315812133867	0.0104347368974399
mprestamos_personales	0.012691405668818	0.00857395699335988	0.00326797385620915
mdescubierto_preacordado_delta1	0.0102064429170687	0.00359966521697538	0.000981268289263874
Visa_status	0.00972550539168111	0.00121601366245144	0.000665860624857629
mactivos_margen	0.00924567190628445	0.00848330255226024	0.013483677653367
Master_status	0.00904501427292315	0.00163019427733086	0.000709667244914051
cliente_edad_lag1	0.00868319394359365	0.0108781037763154	0.015332317019748
numero_de_cliente	0.00848164124734681	0.0101132854796603	0.016471289141215
mrentabilidad_annual_delta1	0.00813766890837948	0.00664409710403678	0.0129141915926335
Visa_Fvencimiento_lag1	0.0080458126441758	0.00491526250925739	0.0114948571028054
ctrx_quarter_delta1	0.00801364921917303	0.00758549819102036	0.0119942525714486
Master_fechaalta	0.00798545123514146	0.00879790368745318	0.0114773344547828
mrentabilidad_annual	0.00784254782302678	0.00753313459329258	0.011328391946591
cproductos_delta1	0.00779129217956238	0.00436899464340794	0.00157703832203123
cliente_edad	0.00759978141444972	0.00647123929859772	0.0124498414200354
mprestamos_personales_lag1	0.00693489390229275	0.00309747779922033	0.00181359407033591
ctarjeta_visa_trx	0.00658995116698807	0.0066878916533157	0.0111181201703201
Visa_Fvencimiento	0.00657403471971096	0.00709191463681186	0.0119329233033696
Master_Fvencimiento	0.00646159977281724	0.00588057457459383	0.0116700835830311
mprestamos_personales_delta1	0.00624325953473832	0.00855953785568101	0.00333806444829943
Visa_fechaalta_lag1	0.00587671262188492	0.00491461362654258	0.0100317159929208
mcuenta_corriente_lag1	0.00564850091358137	0.00700471734259846	0.0100404773169321
Master_Fvencimiento_lag1	0.00561536823053061	0.00434702016840285	0.0106012020536543
mcuentas_saldo_delta1	0.00558406977909041	0.00828330580176159	0.0105836794056318
mcaja_ahorro_dolares_delta1	0.00550221102545251	0.00655231190238011	0.00689516199688097
Visa_fechaalta	0.00532386453125163	0.00471871283770281	0.00940090066410836
chomebanking_trx	0.00531762903714662	0.00465808461228105	0.00869123341919431
Master_fechaalta_lag1	0.00521461132839306	0.00606863428100092	0.0102770330652368
Visa_mpagominimo	0.00516491312067703	0.00686502249322842	0.00981268289263874
mrentabilidad_annual_lag1	0.00502999863170931	0.00791439103909753	0.00916434491580368
mrentabilidad	0.00488889475460093	0.00420441929591157	0.00831449648670907
mcuenta_corriente_delta1	0.00479827376448179	0.00813153503218182	0.00891026651947643
ccaja_ahorro	0.00472544982643651	0.00388803275335775	0.00320664458813016
mcaja_ahorro_delta1	0.00459115621529364	0.00751079575100679	0.0079552822022464
mrentabilidad_delta1	0.00442871836711098	0.00400299120682702	0.00757854526976117
mcomisiones_mantenimiento	0.00439260200630881	0.00576972829908724	0.0045471271618567
Visa_mfinanciacion_limite	0.00437569085129736	0.00515908754816938	0.00622930137202334
cliente_antiguedad_lag1	0.00432657828593171	0.0049351625270508	0.00867371077117174
mtransferencias_recibidas	0.00423953915241349	0.00450761014789502	0.00678126478473427
mactivos_margen_lag1	0.00423467916200329	0.00778326946517496	0.00792023690620127
cliente_antiguedad	0.0042027687343515	0.00411246416891053	0.00865618812314917
Master_mfinanciacion_limite	0.00414211907635552	0.00518983373699333	0.00749969335365961
Visa_mpagospesos_lag1	0.00412229817438572	0.00524292345622882	0.00769244248190787
cproductos	0.00397286065239679	0.00729283502493537	0.00778005572202071
mcuentas_saldo_lag1	0.00392350966229999	0.00731787584159103	0.00780633969405457
mactivos_margen_delta1	0.00390269619008003	0.00379674994970022	0.00707038847710666
Visa_fultimo_cierre	0.0037289191500396	0.00450685497537865	0.00660603830450858
Visa_mpagominimo_lag1	0.00372102072473031	0.00537588807840248	0.00694772994094868
mrentabilidad_lag1	0.00357098880018641	0.00302038656700708	0.00655347036044087
Visa_mpagospesos_delta1	0.00356256171124381	0.0043920060396008	0.00739455746552419
ccomisiones_mantenimiento_delta1	0.00353450672329188	0.00421487250977987	0.00134924389773783
mcaja_ahorro_dolares_lag1	0.00352100778907472	0.00434060212426789	0.00648337976835059
chomebanking_trx_delta1	0.00346836787923962	0.00588073850528561	0.00647461844433931
ccomisiones_mantenimiento	0.00322205237766172	0.00295498752038375	0.00134048257372654
mtransferencias_recibidas_lag1	0.00316886396039632	0.00549576837220569	0.00657975433247472
Visa_mpagospesos	0.00315464765343149	0.00470560383903134	0.00679878743275684
Visa_Finiciomora	0.00314600819030185	0.00613778067717911	0.00129667595367012
Master_mfinanciacion_limite_lag1	0.00311803950403953	0.00524152493452309	0.00575618987541397
chomebanking_trx_lag1	0.00310348079493647	0.00315593634467976	0.00682507140479069
mcomisiones_otras	0.00304551254412024	0.00283438502465337	0.00526555573078204
Visa_cconsumos_lag1	0.0030443438076417	0.00399829309000164	0.00544954353501901
